customer_id,age,city,employment_type,tenure_at_bank_months,existing_customer,declared_income,true_monthly_income,avg_monthly_credits,avg_monthly_debits,monthly_surplus,salary_credit_regularity,avg_savings_balance,savings_growth_rate_3m,upi_txn_count_monthly,upi_avg_ticket_size,has_existing_loan,existing_emi_amount,existing_dti,bounce_count_6m,credit_bureau_score,rent_share,auto_fuel_ev_share,education_share,healthcare_share,discretionary_share,mobile_app_logins_monthly,autopay_mandates_active,recent_large_txn_flag,recent_property_related_txn,recent_auto_dealer_txn,repayment_capacity_ratio,converted,recommended_product_true,employment_type_enc,predicted_income,lead_probability,is_high_quality_lead,predicted_product
CUST100010,41,Bengaluru,Salaried-Govt,118,1,55259.0,71293.0,86692.0,51766.0,34926.0,0.949,293570.0,0.089,24,1257.0,1,20205.0,0.283,0,736,0.175,0.075,0.05,0.089,0.327,24,2,0,0,0,0.542,0,Personal Loan,1,73180.61,0.023592412,0,Personal Loan
CUST100011,57,Indore,Salaried-Private,80,0,65727.0,111691.0,127666.0,90696.0,36970.0,1.0,185219.0,0.038,32,465.0,0,0.0,0.0,0,729,0.308,0.01,0.048,0.043,0.59,21,5,1,0,0,0.692,1,Personal Loan,2,109169.83,0.9577597,1,Personal Loan
CUST100012,48,Surat,Salaried-Private,118,0,105980.0,65657.0,79837.0,53651.0,26186.0,0.976,144621.0,0.206,16,1002.0,1,10425.0,0.159,0,690,0.16,0.0,0.079,0.064,0.539,31,3,0,0,0,0.681,0,Personal Loan,2,65908.25,0.27474582,1,Personal Loan
CUST100013,49,Jaipur,Salaried-Private,140,1,98829.0,83373.0,80486.0,59283.0,21203.0,0.927,184702.0,0.074,22,1008.0,0,0.0,0.0,0,606,0.129,0.037,0.105,0.095,0.633,29,2,1,0,0,0.871,1,Personal Loan,2,80945.77,0.9339138,1,Personal Loan
CUST100014,48,Pune,Salaried-Private,124,1,17150.0,21275.0,17959.0,8486.0,9473.0,0.871,500.0,0.102,9,514.0,1,1870.0,0.088,0,800,0.1,0.136,0.038,0.054,0.583,17,2,0,0,0,0.812,0,Personal Loan,2,18286.84,0.09414319,0,Personal Loan
CUST100015,50,Jaipur,Self-Employed,118,1,56051.0,49704.0,57876.0,29675.0,28201.0,0.389,155722.0,0.037,6,50.0,1,4880.0,0.098,1,803,0.262,0.091,0.0,0.0,0.549,13,0,0,0,0,0.64,0,Personal Loan,3,49057.516,0.0072378297,0,Personal Loan
CUST100016,40,Lucknow,Salaried-Private,151,0,44003.0,31893.0,34110.0,29321.0,4789.0,1.0,116721.0,0.121,4,209.0,1,5509.0,0.173,0,675,0.083,0.0,0.112,0.037,0.594,24,6,0,0,0,0.744,0,Personal Loan,2,33512.273,0.06269203,0,Personal Loan
CUST100017,27,Chennai,Salaried-Private,127,1,37453.0,60249.0,59047.0,33656.0,25390.0,0.971,274446.0,0.024,13,1289.0,0,0.0,0.0,0,670,0.226,0.082,0.0,0.0,0.692,31,4,0,0,0,0.774,0,Personal Loan,2,57628.043,0.14453992,0,Personal Loan
CUST100018,52,Pune,Salaried-Govt,147,0,39139.0,49604.0,57611.0,34468.0,23143.0,0.919,56726.0,-0.012,10,896.0,1,6911.0,0.139,0,809,0.185,0.146,0.0,0.001,0.529,34,4,0,0,0,0.676,0,Personal Loan,1,49928.305,0.099786825,0,Personal Loan
CUST100019,38,Surat,Salaried-Private,74,0,67887.0,70500.0,77283.0,56966.0,20317.0,1.0,6861.0,0.112,16,719.0,1,10361.0,0.147,0,670,0.055,0.131,0.036,0.0,0.632,32,5,0,0,0,0.798,0,Personal Loan,2,68369.195,0.16828175,0,Personal Loan
CUST100020,40,Ahmedabad,Salaried-Private,38,1,26483.0,37813.0,43328.0,23934.0,19394.0,0.921,145121.0,0.035,9,366.0,1,11666.0,0.309,1,587,0.126,0.14,0.008,0.041,0.376,15,3,0,0,0,0.565,0,Personal Loan,2,39493.918,0.0036933916,0,Personal Loan
CUST100021,35,Mumbai,Salaried-Govt,44,0,43057.0,44254.0,39680.0,36472.0,3209.0,0.989,112776.0,0.06,13,1516.0,1,14160.0,0.32,0,689,0.181,0.108,0.067,0.0,0.324,21,1,0,0,0,0.499,0,Personal Loan,1,43232.047,0.0099555245,0,Personal Loan
CUST100022,29,Bengaluru,Salaried-Private,111,1,56995.0,47522.0,56867.0,28079.0,28788.0,0.943,147888.0,0.119,17,216.0,1,15386.0,0.324,0,850,0.143,0.0,0.08,0.042,0.412,22,5,0,1,1,0.533,0,Home Loan,2,48984.516,0.19724949,1,Home Loan
CUST100023,55,Hyderabad,Self-Employed,97,0,21528.0,59450.0,62381.0,44931.0,17450.0,0.402,49307.0,0.051,17,720.0,0,0.0,0.0,0,664,0.407,0.012,0.007,0.061,0.513,16,2,0,1,0,0.593,0,Home Loan,3,60801.996,0.022636473,0,Home Loan
CUST100024,50,Mumbai,Business Owner,16,0,126246.0,116674.0,141495.0,82810.0,58684.0,0.754,257540.0,0.028,35,901.0,0,0.0,0.0,0,664,0.208,0.164,0.048,0.0,0.579,15,2,0,0,0,0.792,0,Personal Loan,0,119334.766,0.06646902,0,Personal Loan
CUST100025,45,Delhi,Salaried-Private,39,1,121929.0,91871.0,109807.0,82148.0,27659.0,0.933,20202.0,-0.003,24,50.0,0,0.0,0.0,0,685,0.156,0.04,0.006,0.04,0.758,28,0,0,0,0,0.844,0,Personal Loan,2,100507.31,0.31961992,1,Personal Loan
CUST100026,37,Ahmedabad,Business Owner,174,0,106590.0,95849.0,110509.0,69671.0,40838.0,0.507,171775.0,0.125,32,271.0,0,0.0,0.0,0,611,0.136,0.0,0.094,0.0,0.77,15,0,0,0,0,0.864,0,Personal Loan,0,98099.805,0.0069824643,0,Personal Loan
CUST100027,51,Surat,Business Owner,131,1,155193.0,158550.0,163835.0,117263.0,46571.0,0.631,202653.0,0.013,47,421.0,1,18707.0,0.118,0,600,0.152,0.096,0.074,0.0,0.559,22,2,0,0,0,0.73,0,Personal Loan,0,159125.4,0.008956013,0,Personal Loan
CUST100028,42,Pune,Self-Employed,136,1,10000.0,15000.0,17347.0,16303.0,1044.0,0.605,79730.0,0.036,2,1081.0,0,0.0,0.0,1,679,0.107,0.124,0.09,0.081,0.598,23,2,0,0,0,0.893,0,Personal Loan,3,16054.158,0.024062553,0,Personal Loan
CUST100029,38,Chennai,Self-Employed,37,0,10985.0,15000.0,18249.0,10881.0,7368.0,0.295,39344.0,0.063,0,431.0,0,0.0,0.0,1,567,0.081,0.055,0.02,0.0,0.843,14,1,0,0,0,0.919,0,Personal Loan,3,15602.994,0.0070806174,0,Personal Loan
CUST100030,38,Indore,Self-Employed,14,1,22231.0,41654.0,47528.0,28268.0,19260.0,0.417,500.0,0.063,12,50.0,1,9675.0,0.232,0,676,0.252,0.093,0.058,0.009,0.356,10,2,0,0,1,0.516,0,Auto Loan,3,42832.754,0.07861597,0,Auto Loan
CUST100031,30,Jaipur,Self-Employed,54,0,37552.0,54207.0,58564.0,38836.0,19728.0,0.32,97446.0,0.121,14,50.0,0,0.0,0.0,0,733,0.365,0.01,0.076,0.0,0.549,13,0,1,0,0,0.635,0,Personal Loan,3,55660.1,0.16383582,0,Personal Loan
CUST100032,26,Surat,Self-Employed,154,1,27285.0,38553.0,44598.0,43943.0,655.0,0.489,90687.0,0.034,8,267.0,0,0.0,0.0,0,748,0.126,0.032,0.092,0.0,0.75,15,0,0,0,0,0.874,0,Personal Loan,3,41222.668,0.029012114,0,Personal Loan
CUST100033,42,Bengaluru,Salaried-Private,92,0,88282.0,67126.0,65189.0,45883.0,19306.0,0.925,73104.0,0.15,17,50.0,1,20086.0,0.299,0,715,0.232,0.0,0.086,0.0,0.383,23,3,0,0,0,0.469,0,Personal Loan,2,64772.574,0.0074658142,0,Personal Loan
CUST100034,54,Jaipur,Business Owner,141,1,12552.0,15000.0,19156.0,18048.0,1108.0,0.678,2188.0,0.02,7,1034.0,1,3460.0,0.231,0,612,0.1,0.0,0.031,0.03,0.608,19,2,0,0,0,0.669,0,Personal Loan,0,15256.626,0.0040546386,0,Personal Loan
CUST100035,25,Surat,Salaried-Govt,89,1,64617.0,75081.0,59894.0,41217.0,18678.0,0.93,209535.0,0.07,24,1054.0,0,0.0,0.0,0,690,0.192,0.146,0.0,0.015,0.647,27,3,0,0,0,0.808,0,Personal Loan,1,71367.734,0.045780595,0,Personal Loan
CUST100036,53,Delhi,Self-Employed,89,1,45748.0,79443.0,83825.0,78303.0,5521.0,0.49,28434.0,0.025,27,654.0,1,7469.0,0.094,1,730,0.023,0.0,0.075,0.073,0.735,17,3,0,0,0,0.883,0,Personal Loan,3,82510.3,0.025583483,0,Personal Loan
CUST100037,51,Ahmedabad,Salaried-Private,109,1,93065.0,82913.0,82010.0,65061.0,16949.0,0.97,220812.0,0.207,28,518.0,0,0.0,0.0,0,784,0.078,0.037,0.072,0.005,0.809,38,3,0,0,0,0.922,1,Personal Loan,2,82883.805,0.8750716,1,Personal Loan
CUST100038,32,Chennai,Salaried-Private,172,0,44186.0,50136.0,47823.0,39206.0,8617.0,1.0,11591.0,0.012,15,1021.0,0,0.0,0.0,0,705,0.073,0.028,0.0,0.03,0.869,25,4,0,0,0,0.927,0,Personal Loan,2,46741.555,0.14272395,0,Personal Loan
CUST100039,45,Ahmedabad,Salaried-Govt,80,1,30862.0,40682.0,44579.0,20576.0,24003.0,0.904,40648.0,0.019,13,1000.0,0,0.0,0.0,0,663,0.163,0.096,0.099,0.008,0.634,20,0,1,1,0,0.837,1,Personal Loan,1,43658.266,0.9842375,1,Personal Loan
CUST100040,28,Delhi,Salaried-Govt,108,1,42122.0,53638.0,47265.0,20553.0,26712.0,0.977,173479.0,0.049,17,157.0,0,0.0,0.0,0,736,0.04,0.0,0.051,0.067,0.842,20,3,0,0,0,0.96,0,Personal Loan,1,49380.473,0.31956792,1,Personal Loan
CUST100041,49,Surat,Salaried-Private,165,1,117438.0,102085.0,140142.0,127898.0,12243.0,0.907,258660.0,0.019,35,226.0,1,14687.0,0.144,0,695,0.0,0.014,0.031,0.0,0.811,18,1,0,0,0,0.856,0,Personal Loan,2,109053.55,0.07488096,0,Personal Loan
CUST100042,47,Surat,Salaried-Private,68,1,30316.0,43862.0,37159.0,33829.0,3329.0,0.896,81018.0,0.065,9,1003.0,1,10025.0,0.229,0,635,0.016,0.025,0.055,0.049,0.627,27,3,0,0,0,0.756,0,Personal Loan,2,39804.504,0.03829002,0,Personal Loan
CUST100043,35,Hyderabad,Salaried-Private,151,1,29798.0,41615.0,37758.0,43422.0,-5664.0,1.0,73041.0,0.138,12,785.0,0,0.0,0.0,0,757,0.159,0.084,0.105,0.046,0.605,14,7,0,0,0,0.841,1,Personal Loan,2,39737.887,0.61345977,1,Personal Loan
CUST100044,25,Jaipur,Salaried-Govt,97,0,79388.0,63460.0,56680.0,25649.0,31030.0,0.884,122849.0,0.052,19,954.0,0,0.0,0.0,0,728,0.085,0.059,0.149,0.0,0.707,24,6,0,0,0,0.915,1,Personal Loan,1,53678.42,0.22007991,1,Personal Loan
CUST100045,56,Hyderabad,Salaried-Private,158,1,46909.0,49197.0,53122.0,42893.0,10229.0,0.796,30142.0,0.055,12,203.0,0,0.0,0.0,1,609,0.111,0.0,0.036,0.026,0.827,16,4,0,0,0,0.889,0,Personal Loan,2,49572.574,0.04466353,0,Personal Loan
CUST100046,38,Jaipur,Business Owner,85,1,191217.0,150858.0,181359.0,97156.0,84203.0,0.528,500.0,0.022,49,274.0,1,27514.0,0.182,0,659,0.212,0.04,0.024,0.045,0.497,13,3,0,0,0,0.606,0,Personal Loan,0,151821.95,0.00327939,0,Personal Loan
CUST100047,54,Kolkata,Salaried-Private,114,1,46365.0,51552.0,58197.0,34144.0,24053.0,0.81,136807.0,-0.0,20,882.0,1,3873.0,0.075,0,707,0.081,0.013,0.083,0.002,0.745,24,1,0,0,0,0.843,1,Personal Loan,2,56434.34,0.14537682,0,Personal Loan
CUST100048,46,Ahmedabad,Salaried-Private,60,0,60162.0,60181.0,76481.0,48152.0,28329.0,0.873,246448.0,0.048,9,309.0,1,19636.0,0.326,0,589,0.17,0.088,0.0,0.001,0.414,16,1,0,0,0,0.503,0,Personal Loan,2,62511.676,0.0025525363,0,Personal Loan
CUST100049,50,Pune,Salaried-Private,115,1,18723.0,17938.0,16609.0,13102.0,3507.0,0.878,48547.0,0.041,9,50.0,0,0.0,0.0,0,660,0.436,0.045,0.1,0.0,0.418,22,3,0,0,0,0.564,0,Personal Loan,2,17173.875,0.020938033,0,Personal Loan
CUST100050,49,Kolkata,Salaried-Govt,60,0,74007.0,53302.0,61234.0,36770.0,24465.0,0.932,116266.0,0.134,12,317.0,1,15525.0,0.291,0,784,0.134,0.165,0.0,0.111,0.299,26,5,0,0,0,0.574,0,Personal Loan,1,54021.152,0.034526337,0,Personal Loan
CUST100051,29,Delhi,Salaried-Govt,110,1,72247.0,52903.0,53140.0,38583.0,14557.0,0.807,500.0,-0.037,16,547.0,1,16502.0,0.312,0,680,0.155,0.02,0.0,0.011,0.501,23,0,0,0,0,0.533,0,Personal Loan,1,53898.785,0.0073464904,0,Personal Loan
CUST100052,35,Bengaluru,Self-Employed,142,1,48774.0,43938.0,47638.0,41434.0,6204.0,0.297,136899.0,0.156,9,1501.0,0,0.0,0.0,0,637,0.226,0.026,0.149,0.0,0.6,13,1,1,1,0,0.774,0,Personal Loan,3,45033.99,0.10298605,0,Personal Loan
CUST100053,39,Bengaluru,Business Owner,79,0,141163.0,171329.0,208388.0,192349.0,16039.0,0.791,432107.0,0.028,56,231.0,0,0.0,0.0,0,821,0.082,0.028,0.0,0.0,0.89,19,1,0,0,0,0.918,1,Mortgage Loan,0,175451.73,0.6777807,1,Mortgage Loan
CUST100054,40,Surat,Salaried-Private,78,1,82141.0,113503.0,90366.0,76329.0,14037.0,0.922,333724.0,0.052,27,619.0,0,0.0,0.0,0,759,0.109,0.048,0.132,0.0,0.711,17,2,0,1,0,0.891,1,Home Loan,2,101649.62,0.9464879,1,Home Loan
CUST100055,24,Pune,Self-Employed,60,0,72103.0,116228.0,156751.0,125611.0,31141.0,0.773,389462.0,-0.045,37,1671.0,0,0.0,0.0,0,785,0.169,0.111,0.149,0.041,0.531,21,2,0,0,0,0.831,0,Personal Loan,3,117462.82,0.107851855,0,Personal Loan
CUST100056,42,Jaipur,Salaried-Private,132,1,121383.0,87610.0,90082.0,62563.0,27520.0,0.98,366124.0,0.085,18,103.0,0,0.0,0.0,0,658,0.203,0.033,0.064,0.02,0.68,29,4,0,0,0,0.797,1,Personal Loan,2,75572.54,0.47579345,1,Personal Loan
CUST100057,28,Indore,Salaried-Private,107,1,76666.0,57835.0,46789.0,28897.0,17893.0,0.951,7398.0,-0.037,16,980.0,0,0.0,0.0,0,702,0.068,0.036,0.082,0.044,0.769,27,1,0,0,0,0.932,0,Personal Loan,2,49387.367,0.13923177,0,Personal Loan
CUST100058,49,Mumbai,Salaried-Govt,94,0,48504.0,48328.0,45722.0,37355.0,8366.0,1.0,500.0,0.07,10,295.0,1,2960.0,0.061,0,729,0.247,0.081,0.0,0.059,0.552,24,3,0,1,1,0.692,1,Home Loan,1,42689.23,0.9565462,1,Auto Loan
CUST100059,46,Kolkata,Salaried-Private,7,1,75237.0,62501.0,66585.0,35346.0,31239.0,0.908,126391.0,0.062,18,851.0,0,0.0,0.0,0,747,0.366,0.003,0.006,0.024,0.602,24,3,0,1,0,0.634,1,Home Loan,2,64805.188,0.9088038,1,Home Loan
CUST100060,55,Chennai,Self-Employed,22,0,39136.0,54784.0,51828.0,38428.0,13400.0,0.431,22802.0,0.014,32,1817.0,0,0.0,0.0,0,900,0.0,0.098,0.065,0.025,0.812,18,1,1,0,0,1.0,1,Personal Loan,3,58997.73,0.85648984,1,Personal Loan
CUST100061,49,Hyderabad,Self-Employed,4,1,42120.0,51454.0,38221.0,20118.0,18102.0,0.289,8050.0,-0.125,18,1046.0,1,8195.0,0.159,0,716,0.227,0.037,0.063,0.093,0.421,17,2,0,1,1,0.614,0,Home Loan,3,50596.348,0.05336162,0,Home Loan
CUST100062,35,Lucknow,Self-Employed,153,1,68084.0,90750.0,96605.0,68838.0,27767.0,0.468,329436.0,0.213,30,726.0,0,0.0,0.0,2,781,0.169,0.006,0.071,0.059,0.695,8,2,0,0,0,0.831,0,Personal Loan,3,91566.48,0.020431984,0,Personal Loan
CUST100063,56,Hyderabad,Salaried-Govt,153,0,40001.0,38930.0,36662.0,19443.0,17219.0,0.98,11150.0,-0.044,12,174.0,0,0.0,0.0,0,900,0.144,0.0,0.063,0.045,0.747,18,3,0,0,0,0.856,1,Personal Loan,1,38600.3,0.80315286,1,Personal Loan
CUST100064,37,Ahmedabad,Self-Employed,15,1,44972.0,112800.0,129458.0,83875.0,45582.0,0.827,201168.0,0.062,35,562.0,1,9917.0,0.088,0,879,0.219,0.0,0.041,0.016,0.635,28,3,0,0,0,0.693,0,Personal Loan,3,111445.945,0.18606779,1,Personal Loan
CUST100065,34,Ahmedabad,Salaried-Private,11,1,78613.0,97304.0,86576.0,51801.0,34775.0,0.944,500.0,-0.018,21,367.0,0,0.0,0.0,1,727,0.346,0.048,0.0,0.057,0.55,24,4,0,0,0,0.654,0,Personal Loan,2,86874.87,0.07360191,0,Personal Loan
CUST100066,54,Jaipur,Salaried-Private,141,1,69626.0,86644.0,120369.0,69407.0,50962.0,0.928,164153.0,0.124,31,50.0,0,0.0,0.0,0,831,0.211,0.054,0.065,0.044,0.626,14,3,0,0,0,0.789,0,Personal Loan,2,94585.875,0.18397002,1,Personal Loan
CUST100067,35,Kolkata,Salaried-Private,95,1,33742.0,61104.0,68867.0,48501.0,20365.0,0.955,218398.0,0.01,18,50.0,0,0.0,0.0,0,740,0.295,0.043,0.0,0.043,0.619,21,4,1,0,0,0.705,1,Personal Loan,2,67205.945,0.8834408,1,Personal Loan
CUST100068,25,Hyderabad,Self-Employed,57,1,10000.0,15000.0,16193.0,4858.0,11335.0,0.829,54295.0,-0.02,7,235.0,0,0.0,0.0,1,706,0.175,0.0,0.014,0.059,0.752,22,0,0,0,0,0.825,0,Personal Loan,3,16520.36,0.054900505,0,Personal Loan
CUST100069,39,Surat,Business Owner,111,1,134222.0,135764.0,155242.0,61406.0,93835.0,0.707,457183.0,0.088,34,634.0,0,0.0,0.0,0,796,0.224,0.047,0.137,0.043,0.548,18,0,1,0,1,0.776,1,Auto Loan,0,130717.39,0.9343551,1,Auto Loan
CUST100070,50,Jaipur,Salaried-Private,44,0,52084.0,42926.0,33344.0,28831.0,4512.0,0.908,72220.0,-0.062,9,1210.0,1,11824.0,0.275,0,806,0.115,0.0,0.0,0.0,0.61,20,2,0,0,0,0.61,0,Personal Loan,2,37476.21,0.055871908,0,Personal Loan
CUST100071,29,Surat,Salaried-Govt,38,1,69082.0,51059.0,49806.0,37182.0,12623.0,0.904,177034.0,0.007,25,281.0,1,5042.0,0.099,0,772,0.185,0.0,0.031,0.032,0.653,20,6,0,0,0,0.717,0,Personal Loan,1,54049.266,0.07905729,0,Personal Loan
CUST100072,39,Lucknow,Self-Employed,68,1,15526.0,15000.0,19762.0,11655.0,8106.0,0.505,36677.0,0.095,10,746.0,0,0.0,0.0,0,700,0.147,0.125,0.101,0.0,0.627,21,3,0,0,0,0.853,0,Personal Loan,3,17298.62,0.027338171,0,Personal Loan
CUST100073,27,Hyderabad,Self-Employed,161,0,44616.0,40454.0,40534.0,36291.0,4244.0,0.738,46182.0,0.161,9,50.0,0,0.0,0.0,0,678,0.193,0.052,0.085,0.055,0.615,23,2,0,0,1,0.807,1,Auto Loan,3,38672.207,0.8769275,1,Auto Loan
CUST100074,47,Jaipur,Salaried-Govt,138,1,43881.0,55686.0,57945.0,35054.0,22891.0,0.922,132118.0,-0.037,20,250.0,0,0.0,0.0,0,619,0.0,0.085,0.061,0.0,0.853,30,5,0,0,0,1.0,0,Personal Loan,1,55012.523,0.20296197,1,Personal Loan
CUST100075,39,Delhi,Self-Employed,36,0,35485.0,100166.0,98165.0,60436.0,37729.0,0.174,313370.0,-0.009,30,50.0,1,5632.0,0.056,3,674,0.046,0.144,0.0,0.029,0.725,12,0,1,0,0,0.898,0,Personal Loan,3,99248.734,0.087707765,0,Personal Loan
CUST100076,34,Delhi,Self-Employed,102,1,32173.0,36712.0,46612.0,26988.0,19624.0,0.765,500.0,0.068,7,1767.0,1,4610.0,0.126,0,744,0.323,0.055,0.132,0.032,0.333,18,1,0,0,0,0.552,0,Personal Loan,3,40777.062,0.006142064,0,Personal Loan
CUST100077,30,Ahmedabad,Business Owner,159,1,228563.0,164790.0,166983.0,177535.0,-10552.0,0.596,34503.0,-0.12,45,749.0,0,0.0,0.0,0,792,0.347,0.116,0.0,0.0,0.537,19,1,0,0,0,0.653,0,Personal Loan,0,164315.84,0.04915959,0,Personal Loan
CUST100078,42,Surat,Salaried-Private,171,1,76654.0,53392.0,46036.0,35094.0,10942.0,1.0,84604.0,0.149,18,733.0,1,11427.0,0.214,0,598,0.0,0.081,0.089,0.027,0.589,32,2,0,0,0,0.786,1,Personal Loan,2,51235.1,0.10255951,0,Personal Loan
CUST100079,46,Chennai,Business Owner,138,0,17037.0,15000.0,21552.0,16277.0,5275.0,0.362,500.0,-0.04,9,918.0,0,0.0,0.0,0,720,0.112,0.015,0.051,0.061,0.762,18,0,0,0,0,0.888,0,Personal Loan,0,20873.686,0.022243906,0,Personal Loan
CUST100080,55,Hyderabad,Salaried-Private,25,1,27994.0,63490.0,53569.0,43067.0,10502.0,0.796,500.0,0.005,22,1916.0,1,7813.0,0.123,0,705,0.09,0.049,0.0,0.008,0.73,29,2,1,1,0,0.787,1,Home Loan,2,63576.15,0.8960761,1,Home Loan
CUST100081,38,Ahmedabad,Self-Employed,45,1,44639.0,56830.0,58841.0,22743.0,36098.0,0.697,66441.0,0.061,17,432.0,0,0.0,0.0,0,715,0.21,0.013,0.013,0.042,0.722,16,1,0,0,0,0.79,0,Personal Loan,3,57109.203,0.068966635,0,Personal Loan
CUST100082,28,Delhi,Salaried-Private,41,1,44189.0,38241.0,35325.0,21657.0,13668.0,0.915,125736.0,0.044,15,160.0,1,7998.0,0.209,0,839,0.17,0.095,0.167,0.05,0.309,18,0,0,0,0,0.621,0,Personal Loan,2,38420.38,0.05364615,0,Personal Loan
CUST100083,52,Kolkata,Salaried-Private,29,1,74561.0,55207.0,52157.0,41825.0,10332.0,0.882,179959.0,-0.037,14,1650.0,1,8600.0,0.156,0,841,0.262,0.118,0.0,0.0,0.465,21,2,0,0,0,0.583,0,Personal Loan,2,54981.164,0.04009093,0,Personal Loan
CUST100084,45,Hyderabad,Salaried-Private,34,1,105155.0,75095.0,66912.0,48127.0,18785.0,0.936,171338.0,0.178,19,50.0,1,5625.0,0.075,0,819,0.018,0.0,0.0,0.032,0.876,23,4,0,0,0,0.907,1,Personal Loan,2,62902.28,0.85971826,1,Personal Loan
CUST100085,47,Chennai,Salaried-Private,58,1,51018.0,40661.0,39401.0,44010.0,-4609.0,0.912,84186.0,-0.166,13,1299.0,1,6356.0,0.156,0,735,0.222,0.005,0.0,0.022,0.595,34,4,1,0,0,0.622,0,Personal Loan,2,43202.82,0.37695402,1,Personal Loan
CUST100086,26,Hyderabad,Salaried-Private,101,1,13020.0,15583.0,18662.0,11639.0,7023.0,1.0,76842.0,-0.05,7,613.0,0,0.0,0.0,0,712,0.14,0.037,0.069,0.029,0.725,29,3,0,1,0,0.86,1,Personal Loan,2,16370.064,0.93204933,1,Personal Loan
CUST100087,33,Delhi,Salaried-Private,73,0,13508.0,18976.0,14511.0,12911.0,1599.0,0.865,18805.0,-0.011,11,867.0,0,0.0,0.0,0,834,0.092,0.009,0.14,0.0,0.76,15,5,0,0,0,0.908,1,Personal Loan,2,17830.318,0.6960355,1,Personal Loan
CUST100088,49,Surat,Salaried-Govt,77,0,52895.0,46015.0,57018.0,49326.0,7693.0,0.918,99467.0,-0.036,14,50.0,1,7322.0,0.159,0,881,0.233,0.044,0.042,0.0,0.522,28,3,0,0,0,0.608,1,Personal Loan,1,50600.246,0.54716945,1,Personal Loan
